text,intent,period_type,period_text,category_hint,category_text,amount_text,account_text
gasté 1500 en panadería,ADD_EXPENSE,NONE,,FOOD,panadería,1500,
pagué 11000 de expensas,ADD_EXPENSE,NONE,,SERVICES,expensas,11000,
gasté 20000 en ropa,ADD_EXPENSE,NONE,,OTHER,ropa,20000,
gasté 3500 en gimnasio,ADD_EXPENSE,NONE,,HEALTH,gimnasio,3500,
gasté 2600 en medicamentos,ADD_EXPENSE,NONE,,HEALTH,medicamentos,2600,
gasté 4800 en restaurante,ADD_EXPENSE,NONE,,FOOD,restaurante,4800,
gasté 900 en estacionamiento,ADD_EXPENSE,NONE,,TRANSPORT,estacionamiento,900,
gasté 14000 en supermercado en febrero,ADD_EXPENSE,MONTH_NAME,febrero,SUPERMARKET,supermercado,14000,
gasté 3700 en comida ayer,ADD_EXPENSE,YESTERDAY,ayer,FOOD,comida,3700,
gasté 8200 en servicios este mes,ADD_EXPENSE,THIS_MONTH,este mes,SERVICES,servicios,8200,
gasté 1600 en streaming,ADD_EXPENSE,NONE,,ENTERTAINMENT,streaming,1600,
gasté 600 en suscripción,ADD_EXPENSE,NONE,,ENTERTAINMENT,suscripción,600,
gasté 2700 en farmacia ayer,ADD_EXPENSE,YESTERDAY,ayer,HEALTH,farmacia,2700,
gasté 50000 en alquiler el mes pasado,ADD_EXPENSE,LAST_MONTH,el mes pasado,RENT,alquiler,50000,
gasté 1000 en colectivo hoy,ADD_EXPENSE,TODAY,hoy,TRANSPORT,colectivo,1000,
gasté 1900 en supermercado hoy,ADD_EXPENSE,TODAY,hoy,SUPERMARKET,supermercado,1900,
gasté 4200 en comida este mes,ADD_EXPENSE,THIS_MONTH,este mes,FOOD,comida,4200,
gasté 750 en café ayer,ADD_EXPENSE,YESTERDAY,ayer,FOOD,café,750,
gasté 3600 en bar,ADD_EXPENSE,NONE,,ENTERTAINMENT,bar,3600,
gasté 9800 en servicios el mes pasado,ADD_EXPENSE,LAST_MONTH,el mes pasado,SERVICES,servicios,9800,
gasté 12500 en supermercado la semana pasada,ADD_EXPENSE,LAST_N_DAYS,la semana pasada,SUPERMARKET,supermercado,12500,
gasté 2100 en taxi hoy,ADD_EXPENSE,TODAY,hoy,TRANSPORT,taxi,2100,
gasté 3000 en comida,ADD_EXPENSE,NONE,,FOOD,comida,3000,
gasté 8700 en medicamentos este mes,ADD_EXPENSE,THIS_MONTH,este mes,HEALTH,medicamentos,8700,
gasté 6400 en entretenimiento ayer,ADD_EXPENSE,YESTERDAY,ayer,ENTERTAINMENT,entretenimiento,6400,
gasté 150 en kiosco hoy,ADD_EXPENSE,TODAY,hoy,OTHER,kiosco,150,
gasté 22000 en alquiler este mes,ADD_EXPENSE,THIS_MONTH,este mes,RENT,alquiler,22000,
gasté 4100 en supermercado ayer,ADD_EXPENSE,YESTERDAY,ayer,SUPERMARKET,supermercado,4100,
gasté 2900 en comida la semana pasada,ADD_EXPENSE,LAST_N_DAYS,la semana pasada,FOOD,comida,2900,
gasté 5600 en servicios hoy,ADD_EXPENSE,TODAY,hoy,SERVICES,servicios,5600,
gasté 1300 en transporte ayer,ADD_EXPENSE,YESTERDAY,ayer,TRANSPORT,transporte,1300,
gasté 7800 en salud este mes,ADD_EXPENSE,THIS_MONTH,este mes,HEALTH,salud,7800,
gasté 2600 en entretenimiento hoy,ADD_EXPENSE,TODAY,hoy,ENTERTAINMENT,entretenimiento,2600,
gasté 480 en café hoy,ADD_EXPENSE,TODAY,hoy,FOOD,café,480,
gasté 9100 en supermercado el mes pasado,ADD_EXPENSE,LAST_MONTH,el mes pasado,SUPERMARKET,supermercado,9100,
gasté 3400 en comida en enero,ADD_EXPENSE,MONTH_NAME,enero,FOOD,comida,3400,
gasté 6000 en servicios en febrero,ADD_EXPENSE,MONTH_NAME,febrero,SERVICES,servicios,6000,
gasté 1700 en taxi,ADD_EXPENSE,NONE,,TRANSPORT,taxi,1700,
gasté 250 en golosinas hoy,ADD_EXPENSE,TODAY,hoy,FOOD,golosinas,250,
gasté 8900 en alquiler,ADD_EXPENSE,NONE,,RENT,alquiler,8900,
gasté 1200 en farmacia hoy,ADD_EXPENSE,TODAY,hoy,HEALTH,farmacia,1200,
gasté 5300 en supermercado,ADD_EXPENSE,NONE,,SUPERMARKET,supermercado,5300,
gasté 410 en café,ADD_EXPENSE,NONE,,FOOD,café,410,
gasté 9600 en entretenimiento el mes pasado,ADD_EXPENSE,LAST_MONTH,el mes pasado,ENTERTAINMENT,entretenimiento,9600,
gasté 3100 en transporte este mes,ADD_EXPENSE,THIS_MONTH,este mes,TRANSPORT,transporte,3100,
gasté 7200 en comida este mes,ADD_EXPENSE,THIS_MONTH,este mes,FOOD,comida,7200,
gasté 1800 en servicios ayer,ADD_EXPENSE,YESTERDAY,ayer,SERVICES,servicios,1800,
gasté 260 en kiosco,ADD_EXPENSE,NONE,,OTHER,kiosco,260,
gasté 14500 en supermercado este mes,ADD_EXPENSE,THIS_MONTH,este mes,SUPERMARKET,supermercado,14500,
gasté 3900 en restaurante ayer,ADD_EXPENSE,YESTERDAY,ayer,FOOD,restaurante,3900,
gasté 870 en colectivo,ADD_EXPENSE,NONE,,TRANSPORT,colectivo,870,
gasté 2400 en comida hoy,ADD_EXPENSE,TODAY,hoy,FOOD,comida,2400,
gasté 6100 en servicios la semana pasada,ADD_EXPENSE,LAST_N_DAYS,la semana pasada,SERVICES,servicios,6100
